Generation Num,Predators,Prey
555, 225, 792
556, 225, 1264
557, 3566, 1552
558, 115, 392
559, 115, 597
560, 1828, 960
561, 144, 497
562, 144, 768
563, 2402, 1251
564, 195, 689
565, 195, 1094
566, 3193, 1752
567, 325, 1137
568, 325, 1772
569, 5130, 2396
570, 226, 782
571, 226, 1207
572, 3501, 1473
573, 70, 249
574, 70, 395
575, 1242, 645
576, 74, 255
577, 74, 380
578, 1150, 619
579, 96, 341
580, 96, 528
581, 1634, 874
582, 137, 477
583, 137, 750
584, 2252, 1218
585, 198, 694
586, 198, 1079
587, 3088, 1237
588, 62, 218
589, 62, 349
590, 1072, 574
591, 87, 312
592, 87, 487
593, 1491, 799
594, 145, 500
595, 145, 770
596, 2393, 1285
597, 189, 665
598, 189, 1030
599, 3134, 1644
600, 215, 758
601, 215, 1191
602, 3434, 1445
603, 50, 170
604, 50, 259
605, 761, 414
606, 62, 213
607, 62, 332
608, 991, 538
609, 83, 285
610, 83, 423
611, 1351, 696
612, 91, 323
613, 91, 505
614, 1562, 828
615, 146, 510
616, 146, 789
617, 2490, 1308
618, 193, 685
619, 193, 1079
620, 3077, 1298
621, 67, 235
622, 67, 368
623, 1079, 591
624, 89, 316
625, 89, 495
626, 1551, 800
627, 112, 378
628, 112, 603
629, 1876, 996
630, 149, 524
631, 149, 843
632, 2574, 1361
633, 186, 655
634, 186, 1050
635, 3209, 1709
636, 270, 938
637, 270, 1451
638, 4322, 1900
639, 146, 515
640, 146, 772
641, 2335, 1277
642, 208, 723
643, 208, 1162
644, 3250, 1380
645, 121, 423
646, 121, 679
647, 1978, 1098
648, 173, 614
649, 173, 958
650, 2875, 1559
651, 233, 815
652, 233, 1295
653, 3695, 1604
654, 86, 301
655, 86, 476
656, 1474, 786
657, 129, 451
658, 129, 702
659, 2141, 1128
660, 144, 503
661, 144, 804
662, 2476, 1289
663, 184, 644
664, 184, 1020
665, 3105, 1630
666, 228, 801
667, 228, 1265
668, 3545, 1589
669, 144, 505
670, 144, 795
671, 2410, 1290
672, 181, 639
673, 181, 993
674, 3042, 1625
675, 245, 844
676, 245, 1323
677, 3771, 1662
678, 141, 491
679, 141, 755
680, 2262, 1237
681, 186, 654
682, 186, 1011
683, 2999, 1641
684, 244, 846
685, 244, 1314
686, 3815, 1657
687, 144, 506
688, 144, 804
689, 2452, 1317
690, 224, 780
691, 224, 1211
692, 3530, 1477
693, 80, 277
694, 80, 424
695, 1285, 701
696, 123, 426
697, 123, 661
698, 1990, 1057
699, 162, 576
700, 162, 887
701, 2711, 1405
702, 199, 699
703, 199, 1111
704, 3176, 1321
705, 49, 170
706, 49, 251
707, 789, 418
708, 58, 208
709, 58, 306
710, 930, 495
711, 63, 219
712, 63, 325
713, 1038, 544
714, 72, 244
715, 72, 378
716, 1194, 629
717, 81, 288
718, 81, 442
719, 1338, 713
720, 97, 334
721, 97, 522
722, 1635, 851
723, 122, 425
724, 122, 655
725, 2018, 1072
726, 156, 546
727, 156, 837
728, 2555, 1341
729, 187, 649
730, 187, 1040
731, 3231, 1732
732, 275, 966
733, 275, 1525
734, 4369, 1989
735, 181, 638
736, 181, 1021
737, 3006, 1635
738, 264, 924
739, 264, 1430
740, 4163, 1806
741, 108, 394
742, 108, 616
743, 1842, 982
744, 164, 568
745, 164, 883
746, 2749, 1444
747, 176, 613
748, 176, 983
749, 2949, 1582
750, 253, 878
751, 253, 1397
752, 3939, 1809
753, 175, 605
754, 175, 947
755, 2850, 1539
756, 208, 741
757, 208, 1178
758, 3393, 1429
759, 94, 331
760, 94, 523
761, 1621, 868
762, 132, 468
763, 132, 754
764, 2277, 1232
765, 206, 721
766, 206, 1137
767, 3270, 1326
768, 42, 145
769, 42, 225
770, 712, 367
771, 59, 204
772, 59, 316
773, 967, 507
774, 60, 212
775, 60, 315
776, 944, 513
777, 75, 259
778, 75, 405
779, 1244, 657
780, 112, 392
781, 112, 619
782, 1936, 1025
783, 139, 494
784, 139, 799
785, 2374, 1285
786, 189, 669
787, 189, 1046
788, 3138, 1706
789, 255, 893
790, 255, 1420
791, 4168, 1839
792, 145, 493
793, 145, 795
794, 2467, 1314
795, 185, 640
796, 185, 992
797, 3013, 1637
798, 225, 782
799, 225, 1188
800, 3346, 1403
801, 52, 184
802, 52, 298
803, 878, 478
804, 83, 297
805, 83, 476
806, 1370, 755
807, 123, 431
808, 123, 681
809, 2082, 1112
810, 166, 581
811, 166, 915
812, 2778, 1515
813, 264, 898
814, 264, 1346
815, 3881, 1670
816, 100, 352
817, 100, 565
818, 1750, 935
819, 146, 512
820, 146, 781
821, 2330, 1268
822, 175, 619
823, 175, 977
824, 2894, 1575
825, 251, 878
826, 251, 1372
827, 3961, 1750
828, 138, 486
829, 138, 772
830, 2357, 1253
831, 191, 666
832, 191, 1033
833, 3006, 1663
834, 276, 962
835, 276, 1511
836, 4438, 1992
837, 162, 570
838, 162, 877
839, 2605, 1391
840, 228, 797
841, 228, 1245
842, 3502, 1499
843, 74, 267
844, 74, 418
845, 1231, 670
846, 112, 392
847, 112, 623
848, 1922, 1008
849, 128, 457
850, 128, 709
851, 2116, 1145
852, 169, 597
853, 169, 939
854, 2929, 1548
855, 219, 777
856, 219, 1217
857, 3486, 1492
858, 113, 398
859, 113, 631
860, 1865, 998
861, 131, 464
862, 131, 721
863, 2169, 1165
864, 179, 626
865, 179, 973
866, 2961, 1587
867, 254, 873
868, 254, 1356
869, 3972, 1703
870, 137, 485
871, 137, 734
872, 2229, 1206
873, 180, 623
874, 180, 955
875, 2934, 1555
876, 215, 744
877, 215, 1184
878, 3421, 1418
879, 65, 234
880, 65, 368
881, 1182, 620
882, 108, 381
883, 108, 592
884, 1866, 968
885, 151, 529
886, 151, 796
887, 2425, 1299
888, 162, 556
889, 162, 866
890, 2720, 1437
891, 222, 768
892, 222, 1188
893, 3369, 1440
894, 102, 361
895, 102, 561
896, 1780, 940
897, 146, 506
898, 146, 789
899, 2394, 1281
900, 207, 726
901, 207, 1150
902, 3288, 1406
903, 101, 356
904, 101, 557
905, 1724, 922
906, 142, 514
907, 142, 811
908, 2396, 1306
909, 206, 731
910, 206, 1146
911, 3278, 1368
912, 57, 199
913, 57, 299
914, 910, 485
915, 85, 292
916, 85, 440
917, 1300, 731
918, 113, 395
919, 113, 626
920, 1881, 1019
921, 156, 554
922, 156, 889
923, 2686, 1449
924, 203, 713
925, 203, 1146
926, 3234, 1357
927, 78, 278
928, 78, 419
929, 1274, 684
930, 127, 447
931, 127, 703
932, 2181, 1147
933, 156, 543
934, 156, 854
935, 2664, 1414
936, 211, 732
937, 211, 1154
938, 3285, 1366
939, 51, 175
940, 51, 265
941, 853, 449
942, 62, 214
943, 62, 339
944, 1055, 557
945, 84, 292
946, 84, 452
947, 1329, 726
948, 114, 400
949, 114, 602
950, 1819, 979
951, 127, 444
952, 127, 704
953, 2110, 1158
954, 206, 716
955, 206, 1084
956, 3100, 1266
957, 67, 238
958, 67, 384
959, 1132, 605
960, 92, 318
961, 92, 516
962, 1552, 841
963, 125, 427
964, 125, 661
965, 2042, 1089
966, 174, 610
967, 174, 948
968, 2879, 1551
969, 214, 763
970, 214, 1209
971, 3471, 1464
972, 80, 281
973, 80, 445
974, 1317, 710
975, 106, 374
976, 106, 584
977, 1777, 970
978, 155, 550
979, 155, 877
980, 2654, 1399
981, 192, 668
982, 192, 1048
983, 3263, 1725
984, 251, 882
985, 251, 1381
986, 3921, 1738
987, 114, 391
